Multiple occupations for one geographical area,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Area:National,,,,,,,,,,,,,,,
Period:May 2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Occupation (SOC code),Employment(1),Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2)
First-Line Supervisors of Entertainment and Recreation Workers(391010),      113230,         0.8,       25.57,       53190,         0.5,       15.60,       18.36,       23.28,       30.18,       37.85,       32450,       38200,       48430,       62760,       78720
First-Line Supervisors of Gambling Services Workers(391013),       25100,         0.9,       29.86,       62110,         0.6,       17.90,       23.32,       29.43,       35.62,       39.56,       37230,       48510,       61210,       74080,       82290
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services(391014)",       88140,         1.1,       24.35,       50650,         0.6,       15.10,       17.90,       22.14,       28.63,       36.32,       31400,       37220,       46060,       59540,       75550
First-Line Supervisors of Personal Service Workers(391022),      106440,         1.7,       24.08,       50090,         0.6,       15.06,       17.99,       22.45,       28.08,       34.62,       31330,       37430,       46690,       58410,       72000
Animal Care and Service Workers(392000),      288060,         2.8,       16.49,       34290,         0.5,       11.23,       13.55,       15.31,       17.62,       22.35,       23350,       28190,       31830,       36650,       46500
Animal Trainers(392011),       19240,         3.5,       21.59,       44910,         1.6,       13.92,       15.92,       18.66,       23.59,       31.40,       28960,       33120,       38810,       49080,       65320
Animal Caretakers(392021),      268830,         3.0,       16.12,       33530,         0.5,       11.15,       13.47,       15.00,       17.41,       21.67,       23180,       28030,       31200,       36220,       45080
Entertainment Attendants and Related Workers(393000),      612760,         0.6,       15.50,       32250,         0.5,       10.38,       11.94,       14.35,       16.95,       20.79,       21590,       24840,       29840,       35250,       43240
Gambling Services Workers(393010),      102570,         1.1,       18.65,       38790,         0.9,       10.38,       11.41,       15.50,       20.31,       33.21,       21580,       23730,       32240,       42250,       69070
Gambling Dealers(393011),       80570,         1.1,       19.25,       40030,         1.0,       10.29,       11.23,       15.50,       22.60,       36.16,       21410,       23350,       32240,       47010,       75200
Gambling and Sports Book Writers and Runners(393012),        8700,         4.3,       15.40,       32030,         1.6,       10.38,       11.66,       14.02,       17.25,       20.88,       21580,       24260,       29170,       35880,       43440
"Gambling Service Workers, All Other(393019)",       13300,         3.9,       17.14,       35650,         1.5,       11.00,       13.12,       15.72,       18.39,       24.55,       22880,       27290,       32710,       38260,       51070
Motion Picture Projectionists(393021),        2610,        10.1,       21.06,       43800,         3.7,       10.98,       13.00,       16.90,       22.24,       39.18,       22840,       27040,       35160,       46260,       81490
"Ushers, Lobby Attendants, and Ticket Takers(393031)",      117560,         2.4,       14.67,       30520,         0.6,       10.45,       12.10,       14.32,       16.73,       18.16,       21730,       25170,       29780,       34800,       37780
Miscellaneous Entertainment Attendants and Related Workers(393090),      390020,         0.9,       14.89,       30970,         0.5,       10.34,       12.00,       14.21,       16.79,       18.98,       21510,       24960,       29560,       34920,       39480
Amusement and Recreation Attendants(393091),      361680,         1.0,       14.54,       30240,         0.5,       10.31,       11.90,       14.13,       16.58,       18.31,       21450,       24750,       29390,       34490,       38080
Costume Attendants(393092),        6300,         5.1,       28.96,       60230,         1.9,       16.07,       18.68,       25.18,       36.62,       45.71,       33430,       38860,       52370,       76170,       95070
"Locker Room, Coatroom, and Dressing Room Attendants(393093)",       14720,         4.6,       16.63,       34590,         1.8,       10.37,       13.08,       16.08,       18.51,       22.75,       21580,       27210,       33450,       38490,       47320
"Entertainment Attendants and Related Workers, All Other(393099)",        7320,         6.9,       16.67,       34670,         1.5,       10.66,       12.81,       16.00,       18.81,       23.80,       22170,       26650,       33280,       39110,       49500
Funeral Service Workers(394000),       63430,         1.4,       21.88,       45520,         0.7,       13.14,       14.78,       18.31,       25.39,       35.43,       27320,       30730,       38080,       52800,       73690
Embalmers and Crematory Operators(394010),        6600,         4.3,       24.35,       50640,         1.3,       15.54,       18.02,       23.00,       28.29,       35.06,       32310,       37490,       47830,       58850,       72920
Embalmers(394011),        3380,         5.6,       27.26,       56690,         1.5,       17.00,       21.70,       26.01,       30.34,       38.29,       35360,       45130,       54090,       63100,       79650
Crematory Operators(394012),        3220,        10.7,       21.30,       44290,         1.7,       15.00,       16.82,       20.03,       24.10,       29.14,       31200,       34980,       41670,       50120,       60600
Funeral Attendants(394021),       32620,         1.8,       16.92,       35200,         0.8,       11.60,       13.86,       16.27,       18.32,       22.39,       24120,       28820,       33850,       38110,       46580
"Morticians, Undertakers, and Funeral Arrangers(394031)",       24200,         2.8,       27.90,       58020,         1.1,       14.74,       18.90,       24.53,       34.28,       44.17,       30660,       39320,       51030,       71300,       91870
Personal Appearance Workers(395000),      532400,         0.7,       19.96,       41510,         0.8,       11.60,       14.20,       16.79,       22.31,       30.05,       24140,       29540,       34930,       46390,       62510
"Barbers, Hairdressers, Hairstylists and Cosmetologists(395010)",      310830,         1.7,       20.08,       41770,         0.9,       11.34,       13.90,       16.87,       22.85,       30.41,       23580,       28900,       35080,       47530,       63260
Barbers(395011),       15990,        17.7,       19.99,       41570,         2.4,       12.87,       14.49,       17.38,       23.66,       29.37,       26770,       30130,       36150,       49220,       61090
"Hairdressers, Hairstylists, and Cosmetologists(395012)",      294840,         2.6,       20.09,       41780,         0.9,       11.31,       13.87,       16.81,       22.80,       30.44,       23520,       28850,       34970,       47420,       63310
Miscellaneous Personal Appearance Workers(395090),      221570,         1.4,       19.78,       41140,         1.2,       12.88,       15.00,       16.73,       21.31,       29.25,       26790,       31200,       34810,       44330,       60840
"Makeup Artists, Theatrical and Performance(395091)",        4130,        22.7,       32.97,       68590,        12.1,       10.35,       10.92,       22.79,       48.72,       67.82,       21540,       22720,       47390,      101330,      141060
Manicurists and Pedicurists(395092),      144810,         1.7,       17.54,       36480,         1.0,       13.11,       14.99,       16.47,       17.75,       23.11,       27260,       31180,       34250,       36920,       48080
Shampooers(395093),        7360,         9.9,       14.07,       29260,         2.3,       10.67,       12.80,       14.20,       15.67,       17.23,       22190,       26620,       29530,       32600,       35850
Skincare Specialists(395094),       65270,         3.1,       24.57,       51100,         2.4,       13.27,       16.01,       20.77,       28.24,       39.10,       27600,       33310,       43200,       58730,       81320
"Baggage Porters, Bellhops, and Concierges(396010)",       69800,         6.0,       18.52,       38530,         1.2,       13.37,       15.33,       17.43,       20.79,       25.68,       27800,       31880,       36260,       43240,       53410
Baggage Porters and Bellhops(396011),       28780,         6.2,       17.36,       36100,         1.6,       11.88,       14.51,       16.75,       18.89,       22.89,       24710,       30180,       34840,       39290,       47610
Concierges(396012),       41020,         6.8,       19.34,       40230,         1.2,       14.19,       16.01,       17.86,       21.84,       27.53,       29510,       33300,       37150,       45440,       57270
Tour and Travel Guides(397010),       46760,         2.4,       19.37,       40280,         1.5,       12.47,       14.68,       17.34,       21.41,       28.18,       25930,       30530,       36060,       44520,       58620
Other Personal Care and Service Workers(399000),     1207740,         0.7,       18.44,       38340,         0.6,       11.25,       13.77,       16.68,       20.77,       27.58,       23400,       28640,       34690,       43200,       57360
Childcare Workers(399011),      497450,         1.3,       15.42,       32070,         0.7,       10.79,       13.00,       14.60,       17.41,       20.80,       22450,       27040,       30370,       36200,       43270
Recreation and Fitness Workers(399030),      561200,         0.7,       21.03,       43740,         0.7,       12.00,       14.63,       17.79,       24.05,       33.37,       24960,       30420,       37000,       50020,       69410
Exercise Trainers and Group Fitness Instructors(399031),      279450,         1.2,       24.65,       51270,         0.9,       12.91,       16.20,       22.35,       29.62,       38.82,       26840,       33700,       46480,       61610,       80740
Recreation Workers(399032),      281750,         0.9,       17.44,       36270,         0.5,       11.56,       14.00,       16.55,       19.15,       23.89,       24040,       29120,       34410,       39840,       49690
Residential Advisors(399041),       88700,         2.8,       19.33,       40200,         0.5,       13.23,       15.63,       18.25,       22.26,       26.75,       27520,       32510,       37950,       46310,       55640
"Personal Care and Service Workers, All Other(399099)",       60390,         2.6,       17.88,       37190,         1.6,       11.64,       15.18,       17.78,       18.12,       23.08,       24210,       31570,       36980,       37690,       48000
Sales and Related Occupations(410000),    13380660,         0.3,       25.62,       53280,         0.7,       12.40,       14.33,       17.67,       28.41,       47.14,       25790,       29810,       36760,       59090,       98040
First-Line Supervisors of Sales Workers(411010),     1315030,         0.9,       28.92,       60140,         0.8,       15.06,       18.34,       23.57,       32.32,       46.73,       31320,       38140,       49020,       67230,       97190
First-Line Supervisors of Retail Sales Workers(411011),     1087890,         1.2,       25.01,       52030,         0.5,       14.59,       17.83,       22.47,       28.71,       36.71,       30350,       37090,       46730,       59720,       76350
First-Line Supervisors of Non-Retail Sales Workers(411012),      227150,         1.0,       47.61,       99020,         1.1,       23.38,       30.54,       40.66,       57.47,       79.05,       48640,       63510,       84570,      119530,      164420
Retail Sales Workers(412000),     7655030,         0.7,       16.59,       34520,         0.3,       11.16,       13.37,       15.36,       17.48,       22.01,       23210,       27810,       31940,       36350,       45770
Cashiers(412010),     3319210,         0.5,       14.78,       30750,         0.2,       10.86,       12.92,       14.30,       16.59,       17.91,       22580,       26870,       29740,       34510,       37240
Cashiers(412011),     3298660,         0.5,       14.77,       30710,         0.2,       10.86,       12.92,       14.29,       16.59,       17.88,       22580,       26870,       29720,       34500,       37190
Gambling Change Persons and Booth Cashiers(412012),       20560,         2.1,       17.32,       36030,         0.7,       10.88,       13.26,       15.98,       18.92,       25.74,       22630,       27570,       33230,       39340,       53540
Counter and Rental Clerks and Parts Salespersons(412020),      651070,         1.9,       19.91,       41410,         0.5,       13.04,       14.87,       17.88,       22.62,       28.84,       27120,       30930,       37200,       47040,       59990
Counter and Rental Clerks(412021),      390300,         2.0,       20.02,       41630,         0.6,       13.14,       15.50,       17.98,       22.50,       28.65,       27330,       32240,       37400,       46790,       59600
Parts Salespersons(412022),      260770,         1.9,       19.75,       41080,         0.5,       12.84,       14.34,       17.72,       22.82,       29.08,       26700,       29830,       36860,       47470,       60480
Retail Salespersons(412031),     3684740,         0.7,       17.64,       36690,         0.4,       11.42,       13.75,       16.19,       17.98,       23.13,       23740,       28600,       33680,       37390,       48110
"Sales Representatives, Services(413000)",     2245510,         1.1,       41.28,       85860,         1.3,       17.57,       22.60,       30.36,       47.62,       76.50,       36550,       47010,       63150,       99050,      159130
Advertising Sales Agents(413011),      108100,         2.0,       36.45,       75820,         1.3,       15.00,       21.03,       29.46,       43.72,       64.02,       31200,       43740,       61270,       90930,      133150
Insurance Sales Agents(413021),      457510,         1.2,       38.32,       79700,         1.7,       16.80,       20.89,       28.40,       40.11,       64.62,       34940,       43440,       59080,       83420,      134420
"Securities, Commodities, and Financial Services Sales Agents(413031)",      479630,         0.9,       52.75,      109710,         1.3,       21.84,       24.08,       36.97,       61.38,      102.01,       45420,       50080,       76900,      127670,      212180
Travel Agents(413041),       58250,         3.6,       24.06,       50040,         1.3,       14.70,       18.13,       22.79,       28.50,       33.48,       30580,       37720,       47410,       59290,       69640
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel(413091)",     1142020,         2.5,       38.98,       81080,         1.6,       17.51,       22.70,       31.06,       47.08,       69.02,       36430,       47220,       64600,       97920,      143550
"Sales Representatives, Wholesale and Manufacturing(414010)",     1600700,         0.4,       41.79,       86920,         0.5,       18.40,       24.09,       35.13,       49.40,       73.88,       38270,       50110,       73080,      102750,      153680
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products(414011)",      311780,         1.5,       54.58,      113520,         1.0,       23.14,       31.11,       47.94,       68.85,       93.01,       48140,       64700,       99710,      143220,      193470
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products(414012)",     1288920,         0.6,       38.70,       80490,         0.5,       17.90,       23.33,       31.56,       46.20,       63.95,       37240,       48520,       65630,       96090,      133010
Other Sales and Related Workers(419000),      564380,         1.2,       32.09,       66760,         2.0,       13.85,       17.04,       23.07,       37.88,       60.77,       28810,       35440,       47990,       78790,      126410
"Models, Demonstrators, and Product Promoters(419010)",       53880,         3.5,       20.52,       42680,         1.1,       14.20,       15.55,       17.88,       22.34,       28.79,       29540,       32340,       37190,       46460,       59890
Demonstrators and Product Promoters(419011),       50790,         3.1,       19.76,       41090,         1.0,       14.16,       15.54,       17.77,       21.95,       27.97,       29460,       32330,       36970,       45650,       58180
Models(419012),        3090,        21.2,       33.03,       68700,         6.1,       15.23,       16.53,       22.80,       31.00,       67.46,       31680,       34390,       47430,       64480,      140310
Real Estate Brokers and Sales Agents(419020),      249080,         1.6,       35.10,       73010,         3.4,       15.46,       18.75,       27.22,       40.38,       61.12,       32160,       39000,       56620,       83990,      127120
Real Estate Brokers(419021),       51350,        12.9,       41.41,       86130,         9.5,       17.54,       22.69,       30.32,       47.15,       77.39,       36490,       47200,       63060,       98060,      160980
Real Estate Sales Agents(419022),      197720,         4.2,       33.46,       69610,         1.5,       15.10,       18.30,       26.11,       39.16,       57.49,       31410,       38050,       54300,       81460,      119590
Sales Engineers(419031),       59340,         1.8,       62.77,      130550,         1.0,       32.58,       41.84,       56.23,       77.27,       97.43,       67760,       87030,      116950,      160720,      202660
Telemarketers(419041),       81580,         2.9,       17.64,       36680,         1.1,       11.74,       13.85,       16.58,       19.41,       23.90,       24430,       28810,       34480,       40380,       49700
Miscellaneous Sales and Related Workers(419090),      120500,         3.6,       25.74,       53530,         1.0,       12.92,       15.98,       21.20,       30.33,       43.42,       26880,       33230,       44100,       63080,       90310
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers(419091)",        6220,        12.3,       20.29,       42200,         2.8,       10.64,       14.20,       16.78,       22.18,       30.00,       22140,       29540,       34910,       46140,       62400
"Sales and Related Workers, All Other(419099)",      114280,         3.3,       26.03,       54150,         1.0,       13.10,       16.14,       21.45,       30.56,       44.20,       27250,       33580,       44610,       63560,       91940
Office and Administrative Support Occupations(430000),    18533450,         0.1,       23.05,       47940,         0.1,       14.54,       17.39,       21.39,       26.97,       34.35,       30240,       36170,       44480,       56100,       71440
First-Line Supervisors of Office and Administrative Support Workers(431011),     1504570,         0.4,       32.99,       68620,         0.2,       19.74,       24.12,       30.50,       38.31,       48.21,       41060,       50160,       63450,       79690,      100270
Communications Equipment Operators(432000),       49810,         2.3,       19.51,       40570,         0.6,       13.57,       15.34,       17.80,       21.80,       29.02,       28220,       31900,       37030,       45350,       60360
"Switchboard Operators, Including Answering Service(432011)",       43830,         2.5,       19.24,       40020,         0.6,       13.48,       15.19,       17.67,       21.08,       28.28,       28030,       31600,       36750,       43840,       58810
Telephone Operators(432021),        4600,         6.4,       20.24,       42100,         2.0,       14.31,       16.26,       18.31,       23.36,       28.48,       29770,       33820,       38080,       48590,       59230
"Communications Equipment Operators, All Other(432099)",        1380,        11.5,       25.60,       53240,         2.6,       17.37,       20.97,       23.71,       29.67,       36.52,       36130,       43620,       49310,       61710,       75960
Financial Clerks(433000),     2739760,         0.3,       23.01,       47860,         0.1,       15.47,       18.12,       22.02,       26.63,       31.55,       32170,       37690,       45790,       55380,       65610
Bill and Account Collectors(433011),      190910,         2.8,       22.12,       46020,         0.3,       15.36,       17.91,       21.27,       24.36,       29.98,       31960,       37260,       44250,       50680,       62360
Billing and Posting Clerks(433021),      430220,         0.9,       22.66,       47120,         0.2,       16.52,       18.46,       21.92,       25.08,       30.06,       34360,       38390,       45590,       52170,       62530
"Bookkeeping, Accounting, and Auditing Clerks(433031)",     1501910,         0.4,       23.84,       49580,         0.1,       15.61,       18.65,       22.81,       27.90,       33.11,       32460,       38790,       47440,       58040,       68860
Gambling Cage Workers(433041),       12560,         1.9,       17.67,       36750,         0.7,       12.40,       14.23,       17.36,       19.80,       23.29,       25790,       29590,       36110,       41180,       48450
Payroll and Timekeeping Clerks(433051),      157230,         1.2,       26.29,       54690,         0.3,       17.29,       21.00,       25.11,       30.45,       36.45,       35960,       43680,       52240,       63330,       75820
Procurement Clerks(433061),       61580,         1.1,       23.05,       47940,         0.3,       16.60,       18.72,       22.44,       26.34,       30.36,       34520,       38940,       46670,       54790,       63140
Tellers(433071),      340820,         2.1,       18.68,       38850,         0.2,       14.29,       16.81,       18.10,       21.11,       22.57,       29720,       34970,       37640,       43900,       46950
"Financial Clerks, All Other(433099)",       44520,         4.0,       25.33,       52690,         0.6,       17.69,       21.32,       24.01,       27.91,       34.67,       36800,       44340,       49940,       58050,       72120
Information and Record Clerks(434000),     5537420,         0.2,       20.49,       42610,         0.1,       13.85,       16.28,       18.77,       23.19,       29.15,       28800,       33860,       39030,       48240,       60630
Brokerage Clerks(434011),       48060,         3.5,       30.35,       63130,         0.9,       22.00,       24.44,       28.92,       34.65,       41.49,       45750,       50830,       60150,       72080,       86300
Correspondence Clerks(434021),        4650,        15.0,       22.57,       46940,         6.1,       15.00,       17.43,       20.25,       27.72,       33.00,       31200,       36250,       42120,       57660,       68650
"Court, Municipal, and License Clerks(434031)",      157960,         0.6,       23.44,       48760,         0.2,       15.48,       18.20,       22.17,       27.41,       32.37,       32190,       37850,       46110,       57010,       67330
"Credit Authorizers, Checkers, and Clerks(434041)",       14290,         4.1,       24.22,       50380,         1.2,       15.84,       18.80,       23.08,       27.46,       31.47,       32950,       39110,       48000,       57130,       65460
Customer Service Representatives(434051),     2858710,         0.5,       20.92,       43520,         0.1,       14.21,       16.72,       19.08,       23.31,       29.45,       29560,       34780,       39680,       48480,       61250
"Eligibility Interviewers, Government Programs(434061)",      150190,         0.6,       24.92,       51840,         0.1,       17.65,       19.85,       24.17,       29.57,       32.78,       36720,       41290,       50270,       61510,       68180
File Clerks(434071),       82290,         2.2,       19.58,       40730,         0.5,       13.00,       15.55,       18.33,       22.68,       27.95,       27040,       32350,       38130,       47180,       58140
"Hotel, Motel, and Resort Desk Clerks(434081)",      263800,         1.3,       15.66,       32570,         0.5,       11.30,       13.51,       14.80,       17.33,       20.11,       23500,       28100,       30790,       36040,       41820
"Interviewers, Except Eligibility and Loan(434111)",      160550,         1.0,       20.55,       42750,         0.3,       14.48,       17.12,       19.38,       23.25,       27.93,       30110,       35600,       40300,       48350,       58090
"Library Assistants, Clerical(434121)",       83680,         1.4,       17.29,       35970,         0.3,       11.30,       13.79,       16.36,       19.86,       24.14,       23510,       28670,       34020,       41300,       50200
Loan Interviewers and Clerks(434131),      203940,         0.9,       23.40,       48660,         0.3,       16.83,       18.88,       22.78,       27.48,       30.32,       35010,       39270,       47380,       57150,       63070
New Accounts Clerks(434141),       41180,         4.0,       21.48,       44670,         0.9,       16.85,       18.26,       21.46,       23.43,       27.12,       35040,       37970,       44630,       48730,       56420
Order Clerks(434151),       91830,         2.1,       20.93,       43530,         0.7,       14.78,       17.11,       20.00,       23.87,       28.63,       30730,       35590,       41600,       49660,       59560
"Human Resources Assistants, Except Payroll and Timekeeping(434161)",      101440,         1.2,       23.46,       48800,         0.3,       16.58,       19.26,       22.94,       26.93,       30.89,       34490,       40070,       47710,       56010,       64250
Receptionists and Information Clerks(434171),     1003820,         1.1,       17.59,       36590,         0.2,       12.95,       14.64,       17.23,       19.58,       22.77,       26940,       30450,       35840,       40720,       47360
Reservation and Transportation Ticket Agents and Travel Clerks(434181),      119270,         1.1,       22.51,       46820,         0.4,       15.34,       17.34,       19.52,       27.42,       34.46,       31900,       36070,       40610,       57030,       71680
"Information and Record Clerks, All Other(434199)",      151760,         0.8,       23.00,       47840,         0.4,       15.09,       18.08,       22.22,       26.83,       31.60,       31390,       37610,       46210,       55800,       65730
"Material Recording, Scheduling, Dispatching, and Distributing Workers(435000)",     2316650,         0.8,       24.25,       50430,         0.2,       16.07,       18.44,       22.40,       28.85,       36.07,       33420,       38350,       46590,       60010,       75030
Cargo and Freight Agents(435011),      105220,         2.4,       25.22,       52460,         0.8,       17.56,       19.43,       23.24,       28.91,       35.01,       36520,       40410,       48330,       60140,       72820
Couriers and Messengers(435021),       72010,         2.3,       18.44,       38350,         0.4,       13.48,       15.81,       17.65,       20.32,       23.71,       28040,       32870,       36710,       42270,       49310
Dispatchers(435030),      303910,         0.7,       24.64,       51250,         0.2,       15.55,       18.41,       22.85,       28.95,       36.47,       32330,       38280,       47530,       60220,       75850
Public Safety Telecommunicators(435031),       97820,         0.9,       25.07,       52140,         0.3,       16.10,       19.02,       23.51,       29.55,       36.49,       33490,       39560,       48890,       61460,       75910
"Dispatchers, Except Police, Fire, and Ambulance(435032)",      206090,         1.0,       24.44,       50830,         0.3,       15.44,       18.17,       22.53,       28.60,       36.46,       32110,       37800,       46860,       59500,       75840
"Meter Readers, Utilities(435041)",       19900,         3.0,       25.77,       53610,         0.9,       15.06,       18.11,       22.94,       31.54,       39.50,       31320,       37660,       47720,       65600,       82150
Postal Service Workers(435050),      526260,         0.0,       28.20,       58660,         0.0,       19.94,       22.13,       27.17,       34.54,       36.20,       41480,       46030,       56510,       71840,       75300
Postal Service Clerks(435051),       78130,         0.0,       28.48,       59240,         0.0,       20.05,       25.69,       28.64,       34.54,       35.17,       41700,       53440,       59570,       71840,       73150
Postal Service Mail Carriers(435052),      331600,         0.0,       28.53,       59340,         0.0,       19.94,       22.13,       27.08,       36.20,       36.50,       41480,       46030,       56330,       75300,       75920
"Postal Service Mail Sorters, Processors, and Processing Machine Operators(435053)",      116540,         0.0,       27.09,       56350,         0.0,       20.05,       20.58,       25.69,       34.01,       34.54,       41700,       42810,       53440,       70740,       71840
"Production, Planning, and Expediting Clerks(435061)",      393980,         0.9,       27.70,       57610,         0.2,       17.62,       21.31,       25.91,       32.35,       39.14,       36640,       44330,       53900,       67290,       81410
"Shipping, Receiving, and Inventory Clerks(435071)",      844120,         1.5,       20.54,       42730,         0.2,       14.72,       17.05,       19.12,       22.89,       28.04,       30620,       35470,       39780,       47600,       58310
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping(435111)",       51250,         2.2,       21.27,       44240,         0.3,       15.60,       17.71,       20.80,       24.08,       27.43,       32440,       36830,       43270,       50080,       57050
Secretaries and Administrative Assistants(436010),     3171290,         0.3,       23.95,       49810,         0.2,       15.18,       17.94,       22.12,       27.95,       35.66,       31580,       37320,       46010,       58140,       74160
Executive Secretaries and Executive Administrative Assistants(436011),      483570,         1.0,       35.42,       73680,         0.2,       22.07,       27.39,       33.80,       40.80,       50.00,       45910,       56960,       70310,       84860,      104000
Legal Secretaries and Administrative Assistants(436012),      152790,         2.1,       27.08,       56330,         0.6,       16.72,       19.93,       24.37,       31.97,       39.85,       34780,       41450,       50680,       66510,       82890
Medical Secretaries and Administrative Assistants(436013),      749500,         0.6,       20.85,       43380,         0.2,       15.34,       17.57,       19.54,       23.05,       28.05,       31900,       36540,       40640,       47930,       58340
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive(436014)",     1785430,         0.3,       21.87,       45490,         0.1,       14.56,       17.46,       21.29,       25.10,       29.97,       30280,       36330,       44280,       52200,       62340
Other Office and Administrative Support Workers(439000),     3213950,         0.6,       21.14,       43970,         0.1,       13.78,       16.44,       19.69,       24.10,       29.82,       28660,       34200,       40950,       50130,       62030
Data Entry and Information Processing Workers(439020),      191430,         1.9,       19.95,       41490,         0.4,       13.86,       16.14,       18.74,       23.00,       27.72,       28820,       33560,       38970,       47830,       57650
Data Entry Keyers(439021),      154230,         2.4,       19.29,       40130,         0.4,       13.58,       15.70,       18.17,       22.13,       26.60,       28250,       32660,       37790,       46020,       55330
Word Processors and Typists(439022),       37200,         1.9,       22.68,       47170,         0.5,       15.94,       18.49,       22.33,       25.49,       29.94,       33160,       38460,       46450,       53020,       62280
Desktop Publishers(439031),        5220,         5.8,       27.73,       57680,         2.3,       15.33,       18.44,       24.66,       34.34,       47.05,       31880,       38350,       51290,       71420,       97870
Insurance Claims and Policy Processing Clerks(439041),      241650,         1.1,       23.81,       49530,         0.3,       17.07,       18.66,       22.55,       27.61,       32.87,       35510,       38810,       46900,       57420,       68370
"Mail Clerks and Mail Machine Operators, Except Postal Service(439051)",       66600,         2.3,       18.45,       38370,         0.3,       13.65,       15.64,       17.73,       20.61,       23.89,       28390,       32540,       36880,       42860,       49700
"Office Clerks, General(439061)",     2496370,         0.8,       20.94,       43560,         0.1,       13.57,       16.18,       19.46,       23.95,       29.66,       28230,       33660,       40480,       49820,       61690
"Office Machine Operators, Except Computer(439071)",       27960,         3.3,       19.04,       39600,         0.6,       13.68,       15.41,       18.01,       21.54,       25.75,       28450,       32040,       37450,       44790,       53560
Proofreaders and Copy Markers(439081),        5490,         4.6,       24.57,       51100,         0.9,       15.26,       18.24,       23.46,       28.41,       36.30,       31730,       37940,       48790,       59090,       75510
Statistical Assistants(439111),        7200,         3.6,       25.92,       53900,         0.9,       17.05,       20.88,       24.29,       29.79,       36.96,       35460,       43440,       50510,       61960,       76880
"Office and Administrative Support Workers, All Other(439199)",      172020,         1.0,       22.41,       46620,         0.4,       13.99,       16.60,       20.78,       25.84,       32.24,       29100,       34520,       43230,       53740,       67060
"Farming, Fishing, and Forestry Occupations(450000)",      432200,         1.1,       19.22,       39970,         0.6,       14.43,       15.97,       17.08,       20.79,       27.23,       30010,       33220,       35520,       43240,       56640
"First-Line Supervisors of Farming, Fishing, and Forestry Workers(451011)",       27150,         2.5,       29.23,       60790,         0.8,       18.26,       21.88,       27.56,       35.32,       42.48,       37980,       45510,       57320,       73460,       88360
Agricultural Workers(452000),      363710,         1.2,       17.97,       37370,         0.6,       14.25,       15.85,       16.78,       18.63,       22.91,       29630,       32970,       34910,       38760,       47640
Agricultural Inspectors(452011),       12660,         3.1,       25.08,       52170,         0.7,       17.00,       19.06,       23.08,       29.18,       36.19,       35360,       39640,       48010,       60690,       75270
Animal Breeders(452021),        1360,        14.0,       25.73,       53520,         4.2,       16.21,       19.22,       22.86,       29.48,       37.22,       33710,       39980,       47540,       61330,       77410
"Graders and Sorters, Agricultural Products(452041)",       23430,         2.6,       16.77,       34880,         0.7,       13.65,       15.50,       16.52,       17.80,       20.23,       28400,       32240,       34360,       37020,       42090
Miscellaneous Agricultural Workers(452090),      326260,         1.3,       17.75,       36910,         0.6,       14.24,       15.83,       16.72,       18.37,       22.47,       29630,       32920,       34790,       38210,       46740
Agricultural Equipment Operators(452091),       28910,         3.7,       20.12,       41850,         1.0,       14.45,       16.92,       19.08,       22.43,       26.23,       30050,       35190,       39690,       46650,       54550
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse(452092)",      258730,         1.1,       17.37,       36140,         0.6,       14.71,       15.86,       16.57,       17.79,       21.16,       30590,       32980,       34470,       37010,       44010
"Farmworkers, Farm, Ranch, and Aquacultural Animals(452093)",       32590,         3.5,       17.82,       37060,         0.8,       12.26,       14.23,       16.88,       20.60,       24.19,       25500,       29600,       35120,       42850,       50300
"Agricultural Workers, All Other(452099)",        6040,         6.7,       21.95,       45660,         1.9,       12.85,       15.79,       19.53,       26.04,       37.22,       26720,       32840,       40620,       54170,       77420
"Forest, Conservation, and Logging Workers(454000)",       40450,         1.7,       23.69,       49270,         0.9,       14.91,       17.58,       22.55,       28.22,       33.54,       31010,       36560,       46910,       58700,       69760
Forest and Conservation Workers(454011),        5750,         5.1,       17.72,       36860,         1.0,       13.75,       15.00,       16.32,       19.28,       24.26,       28600,       31200,       33940,       40100,       50450
Logging Workers(454020),       34710,         1.7,       24.67,       51320,         1.1,       14.97,       18.57,       23.52,       28.89,       34.08,       31130,       38630,       48910,       60100,       70890
Fallers(454021),        4800,         8.6,       29.42,       61190,         2.9,       15.83,       21.40,       25.56,       33.55,       43.71,       32920,       44510,       53170,       69780,       90930
Logging Equipment Operators(454022),       23720,         1.9,       23.94,       49790,         0.9,       14.87,       18.22,       23.19,       28.85,       33.05,       30930,       37900,       48240,       60000,       68750
